item,size,category,sku,quantity,net_sales,gross,cost,net_margin,gross_margin
$12 Pasta Station,,BANQUETS,,70,755.74,840,,,
$22 Ala Carte,,BANQUETS,,88,1479.59,1936,,,
$25 Buffet,,BANQUETS,,491,10260.55,12275,,,
$27 Ala Carte,,BANQUETS,,10,201.73,270,,,
$3 Appetizer,,BANQUETS,,290,780.76,870,,,
$30 Bar Package,,BANQUETS,,58,1667.61,1740,,,
$30 Buffet,,BANQUETS,,132,3371.76,3960,,,
$37 Ala Carte,,BANQUETS,,28,905.14,1036,,,
$4 Appetizer,,BANQUETS,,150,542.67,600,,,
$40 Ala Carte,,BANQUETS,,20,716.6,800,,,
$45 Buffet,,BANQUETS,,98,4282.68,4410,,,
$5 Mailing FEE,,GIFT CARD,,1,5,5,,,
$50 Ala Carte,,BANQUETS,,52,2404.51,2600,,,
$6 Hot Breakfast,,BANQUETS,,20,120,120,,,
0 Proof Whiskey,,BEVERAGES,,3,24,24,4.05,19.95,19.95
1800,Mix,LIQUOR,,3,25.97,33,,,
1800,DBL,LIQUOR,,4,40,40,,,
2 Room Suite,,HOTEL ROOMS,,7,1435,1435,,,
Absolut,DBL,LIQUOR,,11,99,99,20.9,78.1,78.1
Absolut,Mix,LIQUOR,,21,158.11,160.5,31.5,126.61,129
Absolut,Martini,LIQUOR,,23,316.77,322.5,69,247.77,253.5
Absolut,RX,LIQUOR,,1,10,10,2.4,7.6,7.6
Absolut,Shot,LIQUOR,,1,6,6,0.8,5.2,5.2
Absolut Citron,Martini,LIQUOR,,57,814.55,858.5,,,
Absolut Citron,Mix,LIQUOR,,1,7.5,7.5,,,
Adult Brunch,,FOOD,,1124,25949.53,26976,,,
Adult Grilled Cheese,,FOOD,,11,123.5,123.5,,,
Adult Pasta,,FOOD,,7,101,131,,,
Amaretto,RX,LIQUOR,,1,9,9,2.4,6.6,6.6
Amaretto,Mix,LIQUOR,,5,29.5,32.5,7.5,22,25
Amaretto,Shot,LIQUOR,,1,5.36,6,0.8,4.56,5.2
Amaretto Di Sarona,DBL,LIQUOR,,3,35,36,5.7,29.3,30.3
Amaretto Di Sarona,Mix,LIQUOR,,4,34.56,40,6,28.56,34
Amaretto Di Sarona,RX,LIQUOR,,2,30,30,4.8,25.2,25.2
Amaretto Di Sarona,Shot,LIQUOR,,1,9,9,0.8,8.2,8.2
Antipasto,,BANQUETS,,3,206.86,240,,,
Aperol Spritz,,LIQUOR,,8,78,80,,,
Apple Crisp,,FOOD,,189,1543.21,1603,,,
Apple Juice,,BEVERAGES,,28,86.74,86.8,,,
Apricot Brandy,Mix,LIQUOR,,2,5,12,,,
Apricot Brandy,Martini,LIQUOR,,1,0,8.5,,,
Assorted Hoagie,Full,BANQUETS,,4,520,520,,,
B&B,RX,LIQUOR,,3,51,51,,,
B&B,DBL,LIQUOR,,1,13,13,,,
BLT,,FOOD,,3,34.68,42,,,
Bacardi Rum,Mix,LIQUOR,,27,180.14,191,,,
Bacardi Rum,DBL,LIQUOR,,5,39,40,,,
Bacardi Rum,Mug Dbl,LIQUOR,,67,469,483,,,
Bailey's,Mix,LIQUOR,,14,116.59,126,21,95.59,105
Bailey's,RX,LIQUOR,,2,26,26,4.8,21.2,21.2
Bailey's,Shot,LIQUOR,,7,47.2,56,5.6,41.6,50.4
Baked Potato,,FOOD,,609,4,4,,,
Bay Fries,,FOOD,,8,54.76,56,,,
Beefeater Gin,Martini,LIQUOR,,17,239.51,258,,,
Beefeater Gin,Mix,LIQUOR,,5,42.5,42.5,,,
Beefeater Gin,RX,LIQUOR,,1,13,13,,,
Beer Sample,,DFT BEER,,24,0,0,,,
Berries,,FOOD,,3,30,30,,,
Bison Burger,,FOOD,,225,3461.27,3630.25,1154.25,2307.02,2476
Black Berry Brandy,RX,LIQUOR,,5,40,40,,,
Blackberry Fizz,,BEVERAGES,,41,275.23,287,40.59,234.64,246.41
Blackberry Sour,,LIQUOR,,1,5.5,5.5,,,
Bombay Saphire,Martini,LIQUOR,,10,165.56,173,,,
Bombay Saphire,Mix,LIQUOR,,29,285.46,290,,,
Bombay Saphire,RX,LIQUOR,,5,72.44,75,,,
Bombay Saphire,Mug Dbl,LIQUOR,,9,81.85,91,,,
Boneless Wings,Full,BANQUETS,,1,70,70,,,
Boom Boom Shrimp,,FOOD,,379,5013.33,6066,1819.2,3194.13,4246.8
Brandy Alexander,,LIQUOR,,1,5.54,7,,,
Bread Pudding,,FOOD,,139,1158.05,1181,,,
Brownie Sundae,,FOOD,,195,1571.13,1655,,,
Brunch Bloody,,LIQUOR,,131,491.1,524,,,
Brunch Mimosa,,GLASS WINE,,299,1133.89,1196,,,
Btl Blue Moon,,BTL BEER,,80,544.78,560,120.8,423.98,439.2
Btl Brut,,BOTTLE WINE,,5,141.23,145,61.45,79.78,83.55
Btl Collier Cab,,BOTTLE WINE,,6,163.8,168,49.74,114.06,118.26
Btl Collier Chard,,BOTTLE WINE,,10,280,280,79.7,200.3,200.3
Btl Corona,,BTL BEER,,117,605.14,819,170.82,434.32,648.18
Btl Corona Premier,,BTL BEER,,15,102.82,105,21.9,80.92,83.1
Btl Daou,,BOTTLE WINE,,14,436.08,448,168,268.08,280
Btl Flower,,BTL BEER,,62,270.84,434,107.26,163.58,326.74
Btl Merlot,,BOTTLE WINE,,3,93.01,96,33.78,59.23,62.22
Btl Michelob Ultra,,BTL BEER,,182,1039.52,1092,207.48,832.04,884.52
Btl Miller Lite,,BTL BEER,,373,2102.89,2238,477.44,1625.45,1760.56
Btl Muir Wood Chard,,BOTTLE WINE,,10,316.74,320,120,196.74,200
Btl Pessimist,,BOTTLE WINE,,7,205.5,210,77,128.5,133
Btl Pinot Grigo,,BOTTLE WINE,,8,235.5,240,96,139.5,144
Btl Pinot Noir,,BOTTLE WINE,,15,422.98,450,151.35,271.63,298.65
Btl Sam Adams,,BTL BEER,,42,288.11,294,63.84,224.27,230.16
Btl Sav Blanc,,BOTTLE WINE,,18,477.71,504,162,315.71,342
Btl Stella N/A,,BTL BEER,,72,457.79,504,107.28,350.51,396.72
Btl Troegs,,BTL BEER,,11,66.89,74.25,,,
Btl Yuengling,,BTL BEER,,2,10.14,12,2.52,7.62,9.48
Buffalo Chicken Sandwich,,FOOD,,4,52.5,60,,,
Bulleit Bourbon,RX,LIQUOR,,23,366.48,368,,,
Bulleit Bourbon,Manhattan,LIQUOR,,10,188,190,,,
Bulleit Bourbon,Shot,LIQUOR,,2,13,15,,,
Bulleit Bourbon,Mix,LIQUOR,,1,9,10,,,
Bulleit Bourbon,DBL,LIQUOR,,1,9.85,12,,,
Bulleit Rye,Manhattan,LIQUOR,,7,122.47,126,31.78,90.69,94.22
Bulleit Rye,RX,LIQUOR,,12,182.59,192,44.64,137.95,147.36
Bulleit Rye,DBL,LIQUOR,,5,60,60,13.9,46.1,46.1
Bulleit Rye,Mug Dbl,LIQUOR,,1,9.8,10,2.16,7.64,7.84
Bushmills,Mix,LIQUOR,,21,166.45,178.5,,,
Bushmills,DBL,LIQUOR,,9,82.5,85.5,,,
